X,Y,Delta Y (test func),No. of ideal func
17.5,34.16104,0.351148000000002,Y41
0.3,1.2151024,0.4673422999999999,Y41
0.8,1.4264555,0.5322224999999998,Y41
14.0,-0.06650608,0.13423253,Y48
-15.0,-0.20536347,0.45237137,Y48
5.8,10.711373,0.656326,Y41
-19.8,-19.915014,0.11501399999999862,Y11
18.9,19.193245,0.2932450000000024,Y11
8.8,-0.7260513,0.48884017999999996,Y48
-9.5,-9.652251,0.1522509999999997,Y11
8.1,-16.659458,0.3376860000000015,Y42
-8.8,16.571745,0.6227090000000004,Y42
-3.1,-2.7701359,0.3298641,Y11
-11.8,24.606413,0.6461959999999998,Y42
18.8,37.5234,0.05183299999999491,Y41
7.7,15.392297,0.5017870000000002,Y41
-2.8,-3.2989988,0.4989988000000003,Y11
-8.2,-16.575344,0.2950209999999984,Y41
14.1,0.31000805,0.29144169,Y48
5.8,11.520408,0.15270899999999976,Y41
17.1,-34.927006,0.6381000000000014,Y42
14.7,-0.27583703,0.05019836999999999,Y48
13.7,28.15797,0.3049919999999986,Y41
-7.9,-0.21800028,0.240976993,Y48
17.6,-35.10534,0.06320999999999799,Y42
3.0,-0.24295843,0.17310456000000002,Y48
7.7,7.778326,0.07832599999999967,Y11
11.7,11.846094,0.1460940000000015,Y11
-2.8,-2.6560864,0.14391359999999986,Y11
10.4,10.410377,0.01037700000000008,Y11
-19.1,-38.155376,0.16854100000000471,Y41
-12.5,25.675346,0.1764460000000021,Y42
14.6,-0.677509,0.47775363000000004,Y48
0.0,1.0261426,0.5261426,Y42
-4.6,-0.4953994,0.43967691999999997,Y48
-8.2,15.767493,0.4629299999999983,Y42
13.3,27.148037,0.21325299999999814,Y41
18.2,18.535152,0.3351520000000008,Y11
-10.0,18.979424,0.6010390000000001,Y42
-12.0,0.670648,0.4442534,Y48
-19.3,-38.458572,0.3591120000000032,Y41
16.3,16.863394,0.5633939999999988,Y11
6.7,6.232807,0.46719299999999997,Y11
16.6,-33.41535,0.09856200000000115,Y42
-1.9,-4.0369043,0.23624570000000045,Y41
12.2,-0.010358215,0.156869245,Y48
16.5,-33.964134,0.6129340000000028,Y42
5.3,-10.291622,0.031190999999999747,Y42
